# Time	U	V	U_magnitude
109.4	-0.0305424	0.0316905	0.0440128
109.6	-0.0297751	0.031804	0.0435666
109.8	-0.0290048	0.0318738	0.0430954
110	-0.0282337	0.0318999	0.0425999
110.2	-0.0274639	0.0318826	0.0420805
110.4	-0.0266976	0.031822	0.041538
110.6	-0.0259369	0.0317184	0.0409729
110.8	-0.0251838	0.0315722	0.040386
111	-0.0244405	0.0313838	0.0397779
111.2	-0.0237089	0.0311537	0.0391492
111.4	-0.0229911	0.0308825	0.0385009
111.6	-0.0222891	0.0305708	0.0378335
111.8	-0.0216049	0.0302194	0.0371481
112	-0.0209405	0.0298291	0.0364456
112.2	-0.020298	0.0294008	0.035727
112.4	-0.0196792	0.0289357	0.0349935
112.6	-0.0190862	0.0284348	0.0342465
112.8	-0.018521	0.0278994	0.0334874
113	-0.0179855	0.027331	0.0327179
113.2	-0.0174815	0.0267311	0.0319398
113.4	-0.0170109	0.0261014	0.0311553
113.6	-0.0165755	0.0254436	0.0303665
113.8	-0.0161772	0.0247599	0.0295762
114	-0.0158174	0.0240523	0.0287872
114.2	-0.0154977	0.0233232	0.0280027
114.4	-0.0152196	0.022575	0.0272262
114.6	-0.0149843	0.0218101	0.0264615
114.8	-0.014793	0.0210315	0.025713
115	-0.0146468	0.0202418	0.0249852
115.2	-0.0145464	0.019444	0.0242831
115.4	-0.0144924	0.0186413	0.023612
115.6	-0.0144853	0.0178366	0.0229776
115.8	-0.0145253	0.0170334	0.0223857
116	-0.0146123	0.0162346	0.0218423
116.2	-0.0147462	0.0154438	0.0213532
116.4	-0.0149265	0.0146641	0.0209245
116.6	-0.0151524	0.0138988	0.0205615
116.8	-0.0154232	0.0131512	0.020269
117	-0.0157376	0.0124244	0.0200509
117.2	-0.0160943	0.0117215	0.0199102
117.4	-0.0164917	0.0110455	0.0198489
117.6	-0.0169279	0.0103993	0.0198671
117.8	-0.0174011	0.00978579	0.019964
118	-0.0179092	0.00920735	0.0201374
118.2	-0.0184496	0.00866645	0.0203837
118.4	-0.0190199	0.00816547	0.0206986
118.6	-0.0196176	0.00770639	0.021077
118.8	-0.02024	0.00729087	0.0215131
119	-0.0208838	0.00692071	0.0220007
119.2	-0.0215463	0.00659734	0.0225337
119.4	-0.0222245	0.00632194	0.0231062
119.6	-0.0229154	0.00609541	0.0237122
119.8	-0.0236156	0.00591837	0.024346
120	-0.024322	0.00579135	0.025002
120.2	-0.0250313	0.00571464	0.0256753
120.4	-0.0257402	0.00568823	0.0263612
120.6	-0.0264456	0.00571189	0.0270554
120.8	-0.0271443	0.00578518	0.027754
121	-0.0278331	0.00590738	0.0284531
121.2	-0.0285089	0.00607752	0.0291495
121.4	-0.0291688	0.00629444	0.0298402
121.6	-0.0298099	0.00655682	0.0305225
121.8	-0.0304295	0.00686315	0.0311939
122	-0.0310248	0.00721172	0.031852
122.2	-0.0315932	0.00760055	0.0324946
122.4	-0.032132	0.00802727	0.0331195
122.6	-0.0326394	0.00848965	0.0337254
122.8	-0.0331132	0.00898542	0.0343107
123	-0.0335513	0.00951189	0.0348736
123.2	-0.0339522	0.0100661	0.0354129
123.4	-0.0343143	0.0106455	0.0359277
123.6	-0.0346362	0.0112471	0.0364165
123.8	-0.034917	0.0118676	0.0368786
124	-0.0351557	0.0125043	0.0373132
124.2	-0.0353516	0.0131539	0.0377194
124.4	-0.0355043	0.0138132	0.0380967
124.6	-0.0356136	0.0144793	0.0384445
124.8	-0.0356796	0.0151488	0.0387623
125	-0.0357024	0.0158189	0.0390499
125.2	-0.0356824	0.0164865	0.039307
125.4	-0.0356204	0.0171486	0.0395333
125.6	-0.0355171	0.0178023	0.0397289
125.8	-0.0353736	0.018445	0.0398938
126	-0.0351911	0.019074	0.0400279
